,Unnamed: 0,county,state_name,state_abbrev,zipcode
299,13,Mobile,Alabama,AL,36541
300,13,Mobile,Alabama,AL,36544
301,13,Mobile,Alabama,AL,36560
302,13,Mobile,Alabama,AL,36568
303,13,Mobile,Alabama,AL,36571
304,13,Mobile,Alabama,AL,36572
305,13,Mobile,Alabama,AL,36575
306,13,Mobile,Alabama,AL,36582
307,13,Mobile,Alabama,AL,36587
308,13,Mobile,Alabama,AL,36590
309,13,Mobile,Alabama,AL,36601
310,13,Mobile,Alabama,AL,36602
311,13,Mobile,Alabama,AL,36603
312,13,Mobile,Alabama,AL,36604
313,13,Mobile,Alabama,AL,36605
314,13,Mobile,Alabama,AL,36606
315,13,Mobile,Alabama,AL,36607
316,13,Mobile,Alabama,AL,36608
317,13,Mobile,Alabama,AL,36609
318,13,Mobile,Alabama,AL,36610
319,13,Mobile,Alabama,AL,36611
320,13,Mobile,Alabama,AL,36612
321,13,Mobile,Alabama,AL,36613
322,13,Mobile,Alabama,AL,36615
323,13,Mobile,Alabama,AL,36616
324,13,Mobile,Alabama,AL,36617
325,13,Mobile,Alabama,AL,36618
326,13,Mobile,Alabama,AL,36619
327,13,Mobile,Alabama,AL,36621
328,13,Mobile,Alabama,AL,36622
329,13,Mobile,Alabama,AL,36625
330,13,Mobile,Alabama,AL,36628
331,13,Mobile,Alabama,AL,36630
332,13,Mobile,Alabama,AL,36633
333,13,Mobile,Alabama,AL,36640
334,13,Mobile,Alabama,AL,36641
335,13,Mobile,Alabama,AL,36644
336,13,Mobile,Alabama,AL,36652
337,13,Mobile,Alabama,AL,36660
338,13,Mobile,Alabama,AL,36663
339,13,Mobile,Alabama,AL,36670
340,13,Mobile,Alabama,AL,36671
341,13,Mobile,Alabama,AL,36675
342,13,Mobile,Alabama,AL,36685
343,13,Mobile,Alabama,AL,36688
344,13,Mobile,Alabama,AL,36689
345,13,Mobile,Alabama,AL,36690
346,13,Mobile,Alabama,AL,36691
347,13,Mobile,Alabama,AL,36693
348,13,Mobile,Alabama,AL,36695
349,14,Montgomery,Alabama,AL,36013
350,14,Montgomery,Alabama,AL,36036
351,14,Montgomery,Alabama,AL,36052
352,14,Montgomery,Alabama,AL,36057
353,14,Montgomery,Alabama,AL,36064
354,14,Montgomery,Alabama,AL,36065
355,14,Montgomery,Alabama,AL,36069
356,14,Montgomery,Alabama,AL,36101
357,14,Montgomery,Alabama,AL,36102
358,14,Montgomery,Alabama,AL,36103
359,14,Montgomery,Alabama,AL,36104
360,14,Montgomery,Alabama,AL,36105
361,14,Montgomery,Alabama,AL,36106
362,14,Montgomery,Alabama,AL,36107
363,14,Montgomery,Alabama,AL,36108
364,14,Montgomery,Alabama,AL,36109
365,14,Montgomery,Alabama,AL,36110
366,14,Montgomery,Alabama,AL,36111
367,14,Montgomery,Alabama,AL,36112
368,14,Montgomery,Alabama,AL,36113
369,14,Montgomery,Alabama,AL,36114
370,14,Montgomery,Alabama,AL,36115
371,14,Montgomery,Alabama,AL,36116
372,14,Montgomery,Alabama,AL,36117
373,14,Montgomery,Alabama,AL,36118
374,14,Montgomery,Alabama,AL,36119
375,14,Montgomery,Alabama,AL,36120
376,14,Montgomery,Alabama,AL,36121
377,14,Montgomery,Alabama,AL,36123
378,14,Montgomery,Alabama,AL,36124
379,14,Montgomery,Alabama,AL,36125
380,14,Montgomery,Alabama,AL,36130
381,14,Montgomery,Alabama,AL,36131
382,14,Montgomery,Alabama,AL,36132
383,14,Montgomery,Alabama,AL,36133
384,14,Montgomery,Alabama,AL,36134
385,14,Montgomery,Alabama,AL,36135
386,14,Montgomery,Alabama,AL,36140
387,14,Montgomery,Alabama,AL,36141
388,14,Montgomery,Alabama,AL,36142
389,14,Montgomery,Alabama,AL,36177
390,14,Montgomery,Alabama,AL,36191
391,15,Morgan,Alabama,AL,35601
392,15,Morgan,Alabama,AL,35602
393,15,Morgan,Alabama,AL,35603
394,15,Morgan,Alabama,AL,35609
395,15,Morgan,Alabama,AL,35621
396,15,Morgan,Alabama,AL,35622
397,15,Morgan,Alabama,AL,35640
398,15,Morgan,Alabama,AL,35670
399,15,Morgan,Alabama,AL,35699
400,15,Morgan,Alabama,AL,35754
401,15,Morgan,Alabama,AL,35775
402,16,St Clair,Alabama,AL,35004
403,16,St Clair,Alabama,AL,35052
404,16,St Clair,Alabama,AL,35054
405,16,St Clair,Alabama,AL,35112
406,16,St Clair,Alabama,AL,35120
