NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Hancock County, Indiana",38.8,38.7,35965,1721,3274,4776,3835,4637,1723,4828,1559,1933,6847,707,125,15987,29605,16537,1791,2098,7302,1877,30050,7967,17361,1239,3483,31485,7072,18044,2966,3403,1489,87,10056,5296,1561,192,55,7738,6385,2538,101,75021,70644,4377,71653,29605,1056,0.3778,32534,41.5,36.3,60569,38298,30586,23662,5943,6.7,739,1090,1619,3580,Indiana,HANCOCK
"Hendricks County, Indiana",37.1,39.2,79425,1642,7269,10145,9080,8895,4903,15364,4759,4085,9314,2506,1463,38060,60368,36685,3373,5444,12010,2856,65698,19570,37783,2439,5906,67402,15135,40701,5623,5943,3947,256,13185,14835,4524,846,159,13734,13195,6733,1006,164227,152383,11844,80582,60368,4082,0.393,36003,41.7,36.6,130596,89350,63172,47494,12874,6.5,878,1131,1451,4314,Indiana,HENDRICKS
"Howard County, Indiana",40.2,43,36309,2391,7301,7080,7072,4077,1151,1434,1203,332,1561,2269,438,15395,35139,16968,1729,4792,9394,2256,31634,9132,17265,955,4282,35100,7645,18932,3628,4895,418,200,10632,3602,2215,43,117,9610,4912,1812,0,80684,71610,9074,55868,35139,4273,0.4202,29033,41.4,37,65655,37974,39559,23872,11267,5.8,565,694,2345,3893,Indiana,HOWARD
"Johnson County, Indiana",35.6,38.9,75266,1130,8884,10050,10731,9377,3494,11421,4334,4485,8336,2002,1022,33789,57504,33368,2205,5585,13315,3031,59140,16759,34672,1474,6235,64188,14821,35748,5250,8369,1530,213,16762,11170,2552,501,499,17313,11013,5630,151,153314,141600,11714,68209,57504,2528,0.4039,31360,41.9,36.9,120858,81632,61792,41107,16397,6.1,758,991,2780,3954,Indiana,JOHNSON
"Kosciusko County, Indiana",36.4,41.2,39661,3779,6683,7849,6331,5273,2703,2898,677,571,1974,430,493,16730,30798,15136,1428,3611,8661,1962,31257,10118,16262,746,4131,32387,8963,16015,2920,4489,947,361,9172,3075,1995,410,454,9569,3882,1420,116,77435,70852,6583,55253,30798,2059,0.4059,29026,42,36.4,62008,42010,38744,22668,8130,5.9,625,779,2261,4708,Indiana,KOSCIUSKO
"Lake County, Indiana",37.7,40.5,211588,4426,18343,24371,26564,31609,14188,27699,7496,9708,20199,18077,8908,101840,186769,82018,11079,28903,56324,8445,187101,73982,87940,6512,18667,204662,67951,89877,19628,27206,7040,2224,61740,21993,7604,878,1289,60687,26961,12284,956,478813,406210,72603,55154,186769,22325,0.4417,28392,41.9,35.8,385577,222504,213773,130957,55812,5.6,722,889,20805,27384,Indiana,LAKE
"LaPorte County, Indiana",38.2,43.5,45598,1180,7647,7557,6337,5242,2588,3934,1934,1305,3987,2862,1025,20539,43122,19811,2974,4873,13127,2337,47017,17095,21949,1460,6513,43342,11883,21194,3689,6576,1451,315,19393,4292,1056,230,350,12881,5782,2449,357,102117,85347,16770,51584,43122,5748,0.4591,26844,41.9,35,89123,47592,49209,31431,11691,5.7,624,781,3348,7414,Indiana,LAPORTE
"Madison County, Indiana",39.1,41.3,53900,1441,6988,5978,8044,5809,2656,6554,2473,2564,6189,3986,1218,23196,50426,23265,2055,6761,15364,2981,52728,17673,25771,1463,7821,53563,12241,25437,5634,10251,1197,437,17109,4711,1745,339,75,17422,6719,2387,169,123260,101458,21802,49615,50426,6433,0.4285,24585,42.1,37.9,105105,57600,59141,35457,14969,5.7,594,780,5662,7815,Indiana,MADISON
"Marion County, Indiana",33.2,35.6,443272,7323,33605,61100,75377,83625,40852,70808,16543,15886,20238,11108,6807,201982,373634,129717,18235,58365,137914,29403,357256,162722,150324,8908,35302,398207,159852,150684,28050,59621,14290,5385,86480,64288,19171,3382,5530,89482,66821,29079,2223,933668,776754,156914,47780,373634,43988,0.4779,27950,40.8,37.2,743414,466254,424396,198927,174707,5.4,711,905,40861,57226,Indiana,MARION
"Monroe County, Indiana",28.7,30,66457,2189,9299,14711,13932,8990,3949,5280,1802,841,1822,2833,809,21108,57102,23204,2162,4854,18913,7969,62922,31906,24913,871,5232,65319,28136,24864,4741,7578,1464,155,8922,10967,5838,2059,75,8292,9751,8529,1574,131510,102665,28845,47369,57102,3747,0.4616,27699,37,32.7,126440,73938,62067,31082,26020,5.2,760,897,3129,4770,Indiana,MONROE
