NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Indiana County, Pennsylvania",38.8,42.9,34585,1536,5442,6509,4482,4316,2353,3855,778,860,1707,1735,1012,12670,33098,17002,1793,2880,8803,2620,36183,14584,18034,423,3142,36154,11094,18078,3266,3716,631,170,12044,3332,1933,581,169,11539,3698,2309,866,78088,66419,11669,49448,33098,4754,0.4387,25145,42,33.5,71293,37138,39008,23316,9782,5.9,572,669,4932,6326,Pennsylvania,INDIANA
"Lackawanna County, Pennsylvania",40,44,95960,2507,10948,20257,19630,12778,6626,10828,2101,2428,2904,2133,2820,38312,88268,36438,5826,11274,28377,6353,83997,31475,39228,2880,10414,91304,27299,41642,10115,12248,2105,1735,26239,12036,5188,1162,883,28174,15277,6471,853,202982,173610,29372,53302,88268,15550,0.4406,28642,40.3,35.4,173285,102148,100707,56371,31897,6,650,806,10214,12648,Pennsylvania,LACKAWANNA
"Lancaster County, Pennsylvania",37.4,40.4,250596,10694,28640,37772,44209,42510,17702,25777,7765,7641,14478,8206,5202,119196,202490,114260,7200,18589,50470,11971,211494,67376,123060,6374,14684,225613,61571,122589,19902,21551,7415,1383,61112,32694,11314,2070,2004,63739,32979,16508,2003,532563,491964,40599,66277,202490,18748,0.4368,32676,42.7,34.7,430023,271712,212243,136452,66038,6.1,826,1067,23906,29601,Pennsylvania,LANCASTER
"Lawrence County, Pennsylvania",42.7,47.4,37239,1763,6403,5152,6184,2864,2243,4979,1180,1167,2706,1948,650,14340,37497,17930,2691,3907,11020,1949,35289,11709,18776,984,3820,37373,9331,20039,4173,3830,1459,167,11533,4647,927,191,237,14229,5257,1482,44,84107,70049,14058,47853,37497,7710,0.4433,26428,42.6,35.3,71732,39558,41321,26775,10722,5.9,537,724,4359,5299,Pennsylvania,LAWRENCE
"Lebanon County, Pennsylvania",39.6,42.6,66899,3308,9023,11654,11016,7988,5511,7633,2268,1809,4275,1823,591,28169,54522,28612,2258,7439,13761,2452,55869,18073,30597,1812,5387,58851,15559,30699,5889,6704,976,572,21789,6642,2560,388,265,22328,6895,2827,185,137372,123275,14097,61362,54522,6077,0.3999,28814,41.5,35.7,113314,70227,58010,38515,16007,6,760,922,6152,6009,Pennsylvania,LEBANON
"Lehigh County, Pennsylvania",36.9,40.2,168385,4835,17318,23012,27810,35370,13380,18258,2603,4112,9328,8113,4246,73097,138586,68119,5438,16992,38971,9066,144605,51979,75207,4372,13047,154278,48492,75848,14963,14975,4829,1738,40800,23056,8612,1533,1783,41438,22876,12484,1743,358431,314456,43975,62278,138586,18930,0.457,32758,41.1,36,294087,178305,146732,89789,48797,6,895,1145,12836,17191,Pennsylvania,LEHIGH
"Luzerne County, Pennsylvania",41.7,44.8,141770,5560,18308,24767,24721,22168,8918,15714,3044,3424,7091,4471,3584,52420,128301,55567,7603,17386,39790,7955,130906,50513,61662,5328,13403,135321,40957,63704,16481,14179,3210,864,44033,16803,5847,1209,994,45173,17089,8988,1374,305379,261531,43848,54433,128301,25116,0.4477,28484,40.9,35.5,262246,151576,150280,88539,39762,6,614,810,16719,20383,Pennsylvania,LUZERNE
"Lycoming County, Pennsylvania",40.2,43.4,49628,2588,9609,9147,7973,5341,2857,5356,745,1584,1495,1047,1886,20972,44585,21826,2290,5015,12570,2884,45212,15798,24019,1269,4126,49338,15434,24272,4367,5265,1015,199,13430,7693,1676,242,301,16893,6017,2944,279,106012,92350,13662,55045,44585,7429,0.4183,27306,42.2,37,93463,51746,53530,30863,13722,6,615,796,5017,6761,Pennsylvania,LYCOMING
"Mercer County, Pennsylvania",43,47.6,45200,2292,8515,7917,7515,5450,3022,3981,1013,911,2301,1453,830,18672,46809,21264,2178,5608,14617,3142,45773,14720,23534,1796,5723,47605,12179,22820,6708,5898,1405,302,17096,4957,2046,308,308,16675,5461,2430,175,103242,86965,16277,48847,46809,7624,0.4506,27259,40.6,34.6,92056,48401,52310,33191,13618,6,527,686,6777,8095,Pennsylvania,MERCER
"Monroe County, Pennsylvania",41.8,42.9,74318,1246,6506,7638,10624,9928,3785,7289,1736,2566,5571,7245,10184,30611,55109,28935,2782,6373,14196,2823,70303,28670,32600,2079,6954,73069,23978,33100,7485,8506,2998,533,23545,6244,3222,628,1110,19093,9137,5591,308,167049,146452,20597,64170,55109,7944,0.425,28188,40.8,35.5,140323,78867,81664,42715,12394,5.9,859,1149,3967,5672,Pennsylvania,MONROE
"Montgomery County, Pennsylvania",39.5,42.7,402633,8250,35648,48377,49409,48885,24043,57091,16685,23157,50273,31721,9094,164230,313336,176716,12014,29008,80417,15181,328514,109839,188792,8085,21798,353784,95156,192222,31779,34627,9551,2156,67312,78772,35203,8563,3354,72517,81808,50727,6669,807165,760520,46645,90122,313336,18910,0.4703,47780,41.7,36.3,670601,438881,336194,221925,91411,6.4,1135,1479,16058,20925,Pennsylvania,MONTGOMERY
"Northampton County, Pennsylvania",40.5,44,138174,4189,14544,17250,19534,22427,12226,13364,4477,4757,9375,8862,7169,53828,114996,59789,5042,12745,30052,7368,124403,44754,66085,3518,10046,131085,38554,65611,14433,12487,2250,858,35107,19961,7605,1937,542,39054,20193,9883,1351,292879,262416,30463,68591,114996,12922,0.4414,34590,41.7,35.3,251462,148551,123428,82860,32136,6.2,891,1186,11320,14364,Pennsylvania,NORTHAMPTON
"Northumberland County, Pennsylvania",42,46.9,40108,1369,5246,5630,5278,7821,2732,5572,1360,1342,1471,1493,794,16149,38816,18760,1860,4192,12035,1969,38857,13190,20366,2041,3260,37648,8890,20074,4698,3986,1503,335,17852,3370,1196,75,205,15276,3775,1789,72,87078,75841,11237,47160,38816,5766,0.4555,26722,40.8,36.4,75526,42130,45471,27188,11628,6.2,503,654,6514,8116,Pennsylvania,NORTHUMBERLAND
"Philadelphia County, Pennsylvania",32.9,36.1,668958,8833,28724,50288,72954,88385,39389,127197,24159,35365,90797,71403,31464,279180,608233,167375,33689,124845,232565,49759,601075,323526,214162,14098,49289,690499,333826,220768,62711,73194,21291,9316,173370,90048,38821,8831,10403,184911,101630,55004,9443,1538479,1161363,377116,46116,608233,168506,0.5253,28379,39.7,37,1274089,714190,688846,320690,287543,5.6,857,974,72678,98549,Pennsylvania,PHILADELPHIA
"Schuylkill County, Pennsylvania",41.7,46.9,58406,2167,7656,7498,8964,6539,4309,7407,1728,1575,5270,3785,1508,25880,58458,25450,3775,6964,19269,3000,61520,23893,28364,2246,7017,57683,15270,27263,8325,6825,1495,427,25734,5860,1367,339,438,20573,6387,2313,326,134783,117291,17492,48458,58458,9382,0.4547,26787,41.6,36.6,117900,62373,69918,44243,14215,6.1,535,699,9642,11902,Pennsylvania,SCHUYLKILL
"Somerset County, Pennsylvania",44.7,49.5,28746,873,2639,4179,5836,4045,2059,3314,832,1032,1664,1298,975,11982,28796,15719,1127,3157,7467,1326,32981,10308,18075,1008,3590,30331,6180,16092,3700,4359,1011,318,15427,2976,740,229,233,12599,2760,1467,37,68778,61519,7259,50988,28796,4748,0.4474,27908,43.2,35.4,62793,32033,38500,22804,5992,5.9,430,638,5458,6403,Pennsylvania,SOMERSET
"Washington County, Pennsylvania",42.6,45.6,96151,3853,11291,13497,10717,11018,8751,11121,4087,4528,8997,6284,2007,35156,85835,43629,2912,7513,27245,4536,84484,27545,46801,3008,7130,89493,22240,46867,9013,11373,2576,215,28911,12837,5354,748,521,29010,15314,6637,673,201690,184470,17220,63251,85835,10857,0.4579,35792,42.2,36.3,171628,103348,96225,63696,22139,6,631,842,9366,11539,Pennsylvania,WASHINGTON
"Westmoreland County, Pennsylvania",45.9,49,160989,5521,17533,21782,24950,19229,11605,17477,5721,7493,13695,12050,3933,58364,150368,78034,6572,12459,45520,7783,145447,43424,83741,4622,13660,153100,34786,83138,17032,18144,3073,509,48674,22627,9920,1201,778,48293,25404,12403,893,342962,311949,31013,58471,150368,18372,0.4404,33437,41.6,35.5,294601,171961,170772,115174,35194,6.2,596,787,16248,20573,Pennsylvania,WESTMORELAND
"York County, Pennsylvania",39.6,42.5,210102,4932,19631,28221,32664,31661,15915,23960,6714,8658,17884,14622,5240,88866,173958,92539,9159,18633,44340,9287,180034,57356,98954,5614,18110,186775,47198,100899,18787,19891,4503,1360,61920,25983,7709,1840,1624,60147,26385,12304,861,439134,400932,38202,65239,173958,21147,0.4351,33004,41.9,35.9,361664,224002,184880,130722,43236,6.3,739,1058,16081,21992,Pennsylvania,YORK
"Kent County, Rhode Island",41,45.6,80187,1448,6505,10573,11694,11935,7575,12117,2720,3656,7845,2815,1304,27907,69115,33595,3148,5590,22026,4756,66566,23480,34317,1942,6827,72455,18730,36851,8299,8575,1853,505,14995,11594,4360,792,527,16049,13512,7490,514,162558,150993,11565,68994,69115,7284,0.4453,37841,42.1,36.7,137970,85190,74510,48717,20398,5.6,970,1328,6465,7863,Rhode Island,KENT
"Newport County, Rhode Island",44.5,47.7,40181,1512,5928,6832,4768,6567,2262,4255,669,2010,2917,1642,819,27907,34316,16690,1163,2709,11466,2288,35393,12980,19193,958,2262,36304,11533,16920,3510,4341,825,105,6628,8400,4909,945,721,4792,8178,5135,1467,78732,73245,5487,83822,34316,3469,0.4735,49641,42.5,35.9,70599,40920,42682,22233,12083,5.5,1091,1447,2580,2955,Rhode Island,NEWPORT
"Providence County, Rhode Island",36.1,39.1,296735,6623,23806,47085,54504,50362,19761,36090,7959,11046,20875,11035,7589,115319,237038,88731,12980,36972,78309,20046,254689,120592,102006,7425,24666,274063,112350,103320,25475,32918,7142,3785,69970,37220,15629,2853,4953,71157,37326,21802,2020,610411,508599,101812,56461,237038,51156,0.4676,29772,40.1,35.4,522947,312002,266575,129448,107590,5,817,1132,29404,35524,Rhode Island,PROVIDENCE
"Washington County, Rhode Island",44,45.8,60396,1072,8963,7243,6587,9234,4109,6620,2829,3237,6891,2349,1262,17451,47680,26231,1864,5501,11371,2713,53035,20103,27063,1365,4504,56983,16661,28802,4652,6868,764,464,9629,11363,5663,1407,301,10137,11794,8177,1043,119796,111011,8785,89847,47680,2748,0.4224,43587,40.2,34.2,108963,64921,64332,37564,10116,6,963,1395,2256,2312,Rhode Island,WASHINGTON
"Aiken County, South Carolina",39.2,43.6,71418,1351,5294,10574,12982,10706,5381,10555,2218,2911,5870,2578,998,31171,68609,33180,2300,9376,20904,2849,66985,21844,35220,2779,7142,71839,17756,37392,6998,9693,1332,610,18275,10060,4533,854,389,21540,9933,3794,464,166508,141755,24753,51932,68609,7944,0.461,29266,40.9,36.8,137170,75205,77687,50294,18315,5.8,595,789,6868,10520,South Carolina,AIKEN
"Anderson County, South Carolina",39.2,42.2,87686,1343,8332,12784,17270,11647,7134,10300,4048,2984,6178,3738,1928,37243,78500,40700,2365,9344,22063,4028,77719,22473,44869,2968,7409,85276,22201,45131,7725,10219,3232,775,19377,10298,2275,792,1216,21372,10417,6253,659,197883,168768,29115,51699,78500,8889,0.4687,27435,41.5,36,160267,92973,88997,57172,21328,5.6,561,724,7704,12039,South Carolina,ANDERSON
"Beaufort County, South Carolina",42,47.8,75520,2582,10055,12869,11644,10925,4757,11125,1908,1764,3822,2681,1388,31785,74679,42047,2059,8401,19759,2413,76784,20727,45441,2036,8580,82510,17022,48374,8853,8261,2010,673,13222,15361,6608,1947,854,16647,18385,10004,737,183363,163651,19712,65607,74679,4629,0.4743,38401,42.7,38.7,157704,77192,101255,55824,18855,5.8,1140,1214,3588,6516,South Carolina,BEAUFORT
"Berkeley County, South Carolina",34.6,38.5,100804,1302,6193,7857,14498,16426,8319,18172,6139,5494,10047,4720,1637,46683,78168,38925,4395,11690,18918,4240,87404,30266,45255,2588,9295,89198,25068,46049,6715,11366,3193,1090,24025,10341,4409,288,784,20379,14341,5980,217,216935,188248,28687,62994,78168,5649,0.4311,29727,43,37.7,172810,102252,85972,58108,20060,6,959,1089,5364,9589,South Carolina,BERKELEY
"Charleston County, South Carolina",36.8,39.6,190870,2237,12585,22329,29151,40577,15365,38086,5331,6415,12387,4449,1958,70947,160457,67939,5607,19551,51984,15376,161850,66317,75620,4473,15440,176145,63550,77575,13845,21175,5854,892,31053,41142,12132,2050,609,35021,42359,21058,2558,394291,338703,55588,63459,160457,12423,0.5069,40020,41.8,38.2,334068,208236,191893,99491,60966,5.6,1038,1268,9373,15156,South Carolina,CHARLESTON
"Darlington County, South Carolina",36,44.9,23124,1576,3133,4703,2789,3263,1322,2644,557,505,1064,881,687,11575,25308,10035,961,4326,8604,1382,25610,10279,11808,460,3063,28958,10844,10988,3349,3777,964,735,8304,2363,457,93,341,8820,2193,983,94,65275,49065,16210,33521,25308,4593,0.4977,20173,41,36.65,53865,24288,30875,17715,7593,5.6,476,621,5536,7185,South Carolina,DARLINGTON
"Dorchester County, South Carolina",36.3,38.5,75838,216,4427,6493,8367,9887,3404,16132,3432,2930,11138,6821,2591,35218,55799,29626,2480,7757,14048,1888,61697,21599,34366,1212,4520,66662,18272,33697,5835,8858,2950,441,12789,11340,3660,564,282,15733,9676,4146,432,158412,139072,19340,66438,55799,6264,0.4384,31407,41.1,36.6,126542,79904,61654,39869,15930,6.2,959,1181,2224,5259,South Carolina,DORCHESTER
"Florence County, South Carolina",37.5,39,58195,506,5663,8402,14929,9087,3931,7103,1928,475,3152,2183,836,27369,50518,22953,2694,8552,13448,2871,50131,18077,26025,1538,4491,60659,21823,26774,5762,6300,1991,493,15689,5385,2568,366,940,16127,8300,4108,543,134691,111168,23523,48790,50518,7828,0.5177,27206,40.4,36.2,109261,61910,61109,32983,17535,5.7,585,731,6365,11388,South Carolina,FLORENCE
"Greenville County, South Carolina",37.3,39.5,237501,5167,19299,35124,48062,43796,17617,32058,7035,7294,12337,4771,4941,105322,192556,95425,7430,22028,56138,11535,199842,67432,107639,5610,19161,216082,63194,105780,20596,26512,5799,3624,40407,41184,15133,2860,1633,44409,40470,20266,1643,502729,448530,54199,61183,192556,15373,0.4604,31992,40.9,36.2,410763,256432,214115,130296,62260,5.8,796,926,15972,22341,South Carolina,GREENVILLE
"Greenwood County, South Carolina",40.1,41.1,30675,1879,2966,6608,7562,4490,1738,1465,438,951,1211,895,472,13519,27962,11323,1330,6047,7511,1751,27075,10497,13402,511,2665,31562,10738,13005,3885,3934,383,691,6929,2875,1297,121,124,9286,3996,1257,95,68409,55707,12702,42245,27962,4760,0.476,24900,40.5,35.5,58090,31927,31550,17566,10396,5.4,564,711,4430,5661,South Carolina,GREENWOOD
"Horry County, South Carolina",44.7,47.6,138023,3338,13848,19972,33547,20736,9495,15931,3443,5882,6005,3888,1938,51991,131180,61582,6143,14252,40449,8754,140147,46144,71416,5336,17251,153065,42177,72176,18877,19835,2780,682,40646,19356,7491,1355,276,43732,21163,8803,445,337209,288422,48787,49047,131180,12102,0.4508,27525,41.2,35.5,289323,150377,210700,96421,34759,4.8,772,843,8796,13690,South Carolina,HORRY
"Kershaw County, South Carolina",40,45.4,27859,397,1945,3065,4170,4195,1227,5681,655,1056,3337,1326,805,31785,24756,12915,976,3266,6412,1187,25295,7838,14105,363,2989,28033,7862,14006,2658,3507,376,207,8349,1914,898,128,272,8490,2726,1794,301,65158,55304,9854,51467,24756,2619,0.426,23935,41,36.65,52638,29080,29375,20478,4278,6.1,584,740,2242,3130,South Carolina,KERSHAW
"Lancaster County, South Carolina",41.5,43.3,39436,1046,2838,3973,4783,4474,3450,5698,1744,1450,5215,3138,1627,18582,35710,21159,885,4937,7272,1457,37153,10985,22510,1450,2208,39927,8920,22324,4271,4412,984,608,9517,6024,2402,270,211,10581,6686,2180,381,93298,80087,13211,57224,35710,3754,0.5063,32823,42.2,36.9,76425,42770,38541,27345,8365,6,569,872,2894,4639,South Carolina,LANCASTER
"Laurens County, South Carolina",39,44,25880,1230,1996,3697,3749,3267,1716,3734,1538,757,2300,1640,256,11556,25423,11313,2731,3507,7260,612,26722,9358,13256,720,3388,28238,7896,13651,2937,3754,1045,374,7349,2558,517,373,397,7977,2525,1662,46,64490,51208,13282,41452,25423,4378,0.4578,21652,39.6,38.2,54139,27533,31494,17177,8246,5.3,474,662,4567,5803,South Carolina,LAURENS
"Lexington County, South Carolina",38,39.7,132975,2003,8833,15523,20935,25129,10647,22066,3258,4399,11781,6216,2185,60028,115566,55203,5489,15935,31739,7200,114187,37296,61553,3046,12292,124244,33823,61010,11435,17976,4870,965,29024,18610,6393,1262,754,28623,22082,11201,983,291905,253925,37980,60154,115566,11831,0.4239,30152,42.5,37.3,234446,141473,126223,85558,30008,5.9,718,911,9363,12990,South Carolina,LEXINGTON
"Oconee County, South Carolina",41.6,48.5,28624,480,2466,3706,6954,5349,1996,3223,426,488,1828,1514,194,12533,31612,14622,1617,3508,10544,1321,31939,9997,16815,1612,3515,33694,6981,17284,5234,4195,591,579,6974,4599,1673,306,72,8672,4463,2551,510,77627,65720,11907,47132,31612,3500,0.4743,27246,40.4,36.3,64322,29782,40812,23193,8419,5.5,555,634,4786,7138,South Carolina,OCONEE
"Orangeburg County, South Carolina",37.9,41.4,32266,996,2127,6003,6055,3593,1421,2511,1212,1643,2644,3223,838,14996,33561,12860,1573,6232,11087,1809,32972,14295,14274,1292,3111,38414,14002,15167,5588,3657,1426,216,10460,3248,1122,449,110,9824,2653,2575,213,83544,61476,22068,36536,33561,7782,0.4635,18826,40.8,36.1,69585,34822,42794,22266,11295,5.5,458,544,5055,8606,South Carolina,ORANGEBURG
"Pickens County, South Carolina",34,39,53101,1097,6581,5619,6809,7027,5175,7247,2088,2295,5366,2291,1506,18966,48185,21421,2716,4667,14898,4483,52265,20096,24802,1464,5903,53275,17573,25268,4201,6233,1418,307,12317,5290,2491,1261,215,11851,5553,3893,1336,117941,97321,20620,47148,48185,4318,0.4783,26859,38.9,33.2,104520,57665,55067,32195,15990,5.7,591,780,5237,8898,South Carolina,PICKENS
"Richland County, South Carolina",31.3,35.3,195838,14055,13230,23281,36131,37432,12392,31468,5368,4989,6824,7456,3212,76341,152227,55483,7306,29921,47760,11757,163911,78038,66723,4443,14707,177579,73988,65486,15418,22687,6922,346,30459,23600,10059,3424,714,32204,31227,16339,2767,385031,320684,64347,52159,152227,19324,0.4767,28566,39.7,36.7,336306,195352,175056,88369,63858,5.8,786,982,8241,20345,South Carolina,RICHLAND
"Spartanburg County, South Carolina",37,38.8,135694,2526,10239,21516,23668,23587,11692,20298,3855,4104,8010,4883,1316,63852,116018,58273,5831,16340,28535,7039,121535,40261,64089,4226,12959,132243,36688,66748,11113,17694,4171,1106,33142,14966,6066,1429,1070,32430,17800,7798,953,306356,265386,40970,53581,116018,11461,0.4389,26441,42.1,36.4,248960,144191,131448,82335,33683,5.6,599,785,12520,18369,South Carolina,SPARTANBURG
"Sumter County, South Carolina",34.1,40.5,44372,1762,5415,8788,10606,7031,1465,2256,309,866,2312,2570,992,18240,40396,17706,2588,8368,10626,1108,40408,14970,21090,1388,2960,45062,13893,22086,5564,3519,967,493,9671,2980,1838,119,633,11016,6168,2486,321,103395,84318,19077,45994,40396,6466,0.4329,22602,40.7,37.6,84264,44179,48282,25190,15206,5.8,569,753,5044,6462,South Carolina,SUMTER
"York County, South Carolina",37.8,40,125621,1408,12852,15822,16566,16204,8931,17515,6523,4216,14376,8779,2429,60422,100623,49550,4721,13371,27484,5497,104327,35211,56083,2964,10069,114503,32905,55560,12219,13819,3322,596,21846,20553,6320,667,386,23651,22505,9182,400,270025,243872,26153,64319,100623,9617,0.455,33330,41.6,37.2,214983,136580,110226,72881,27742,5.9,781,1017,6048,9802,South Carolina,YORK
"Minnehaha County, South Dakota",34.5,36.6,102487,3934,12566,22095,26582,18934,5029,6441,1379,1341,1647,1870,669,44429,76630,36082,2279,8745,23575,5949,76312,26734,39784,1742,8052,74997,21470,37750,5628,10149,2322,720,18078,14729,3988,940,1022,15231,14695,6098,440,185983,168383,17600,58742,76630,7775,0.4103,30049,41.4,36,148819,108573,84009,48821,27809,5.8,717,908,5262,8137,South Dakota,MINNEHAHA
"Pennington County, South Dakota",38.2,42.4,53338,1476,6947,13050,11304,10707,2770,3318,579,535,1492,966,194,20653,44794,20035,2204,5510,12300,4745,45186,16839,21632,1038,5677,46066,14061,21328,4101,6576,1128,294,12643,7408,2602,606,310,11123,9175,3354,274,109008,94011,14997,59006,44794,3901,0.4487,32272,41.8,36.2,89612,56084,49249,30635,14159,5.7,722,905,3821,5746,South Dakota,PENNINGTON
"Anderson County, Tennessee",40.9,43.5,30814,624,4280,4153,4814,2303,3092,5125,1111,987,3418,380,527,14111,29505,13824,978,3976,8859,1868,30435,10497,15314,925,3699,32648,9035,15663,4117,3833,578,399,9320,3433,1756,771,400,7752,3005,2245,274,75386,60556,14830,50616,29505,4205,0.4489,26146,41.5,36.8,61927,32689,35020,20025,9480,5.8,591,701,2676,3740,Tennessee,ANDERSON
"Blount County, Tennessee",41.4,45.1,59588,1591,6094,7606,10930,8861,3550,9581,1588,2242,4855,1883,807,24880,51446,29101,2830,6453,11110,1952,51879,13821,31260,1690,5108,57772,11300,32795,6538,7139,1156,555,16047,6655,2271,523,265,16662,7685,2895,570,129405,117841,11564,58809,51446,4899,0.4308,29943,40.9,36.9,108262,61767,58673,37567,13879,5.8,688,800,5132,8370,Tennessee,BLOUNT
"Bradley County, Tennessee",38.8,41,47794,2402,6189,7623,10193,6761,1812,5061,724,2498,2564,1239,728,18684,39104,19301,2613,4338,10779,2073,42202,13640,22004,1060,5498,45666,11742,22690,4311,6923,1674,466,11891,4133,1434,458,610,10892,4608,2694,437,102934,87118,15816,50560,39104,5894,0.4637,26512,41.5,34.5,86193,50725,44157,26327,12777,5.5,594,808,4402,5577,Tennessee,BRADLEY
"Davidson County, Tennessee",33.9,35.1,362931,8354,26099,44249,60841,65109,30341,62874,11045,13864,24209,11138,4808,121488,283445,108872,12156,38797,90200,33420,272284,116662,122527,5256,27839,297435,116167,125292,20861,35115,11513,3301,56793,60137,21389,6839,5119,51546,64470,28766,4785,670599,567359,103240,60856,283445,29151,0.4865,36891,41.2,37.9,562526,389697,319508,152009,131436,5.2,967,1147,16731,23439,Tennessee,DAVIDSON
"Greene County, Tennessee",43.2,45.7,27996,622,3852,4181,5052,5220,1713,2939,637,518,2050,872,340,11099,27316,13914,1408,3773,6681,1540,28410,7610,15726,1270,3804,30054,6321,15234,2875,5624,615,127,9023,3040,767,87,268,10503,2744,1446,209,67042,57902,9140,47383,27316,2868,0.4442,24905,41.9,37.1,57660,29597,32690,20971,6345,5.4,516,599,3470,4992,Tennessee,GREENE
"Hamilton County, Tennessee",38.3,41.3,162656,3315,14759,23425,36150,29626,14135,20262,3536,5357,7103,2189,2799,64894,146057,67001,6139,18526,42908,11483,143002,50635,72399,4682,15286,158149,43597,77371,14785,22396,4605,1306,29367,24462,8684,2227,1295,33142,25857,12686,1430,352572,307678,44894,57280,146057,19612,0.4684,32580,41.2,37,297020,177723,160807,93841,52216,5.7,719,905,13469,19280,Tennessee,HAMILTON
"Knox County, Tennessee",36.2,38.5,216075,3399,16841,28466,45210,48009,18896,29182,4342,4737,10467,3583,2943,87905,185416,89418,5665,20806,53581,15946,183913,66251,95791,5005,16866,199749,58085,99409,17022,25233,4701,1211,38810,31887,13515,3991,1231,41799,35849,17073,1930,455024,395449,59575,55632,185416,19206,0.4718,31796,40.5,36.5,378125,233590,206056,119103,66313,5.7,715,904,15412,24456,Tennessee,KNOX
"Madison County, Tennessee",36.6,40.6,42701,2256,4631,9809,11285,6177,2534,1511,428,790,881,1636,763,19428,39223,16186,1543,7228,12819,1447,37201,14369,18708,604,3520,42064,13509,19340,4499,4716,1244,328,10557,4659,1341,389,362,10595,5605,2663,374,93747,76774,16973,45360,39223,6662,0.506,28779,41.8,37.4,78437,44643,43382,23782,15441,5.8,540,791,3737,4947,Tennessee,MADISON
"Maury County, Tennessee",36.8,41.3,42060,880,3274,4246,5644,6330,1989,5170,1505,2235,6506,3287,994,18668,34361,16389,2499,5842,8112,1519,36485,11338,20303,1531,3313,39245,10543,18289,3170,7243,923,462,10718,4826,1441,246,660,12089,4938,2059,244,93205,83505,9700,53794,34361,5050,0.442,28196,41.5,36.8,74454,44492,38352,23810,10551,5.6,681,901,2891,4057,Tennessee,MAURY
"Montgomery County, Tennessee",29.9,32.3,89600,2472,6276,12753,17626,13891,7482,10063,2450,1254,6786,6542,2005,48938,72973,38558,2945,10882,16916,3672,79121,27125,42120,1790,8086,80038,21971,41790,5139,11138,4269,312,17367,12402,3933,1678,613,17913,14077,5299,766,201086,175692,25394,56019,72973,7666,0.4347,26535,44.4,37,156335,83614,82596,42915,30058,5.6,766,991,3094,5286,Tennessee,MONTGOMERY
"Putnam County, Tennessee",35.7,38,34863,1892,5385,8432,6027,2310,1023,4471,711,485,1398,1931,798,14600,33388,15488,1863,3879,9107,3051,32939,12479,16835,674,2951,33246,9750,16952,2960,3584,739,339,11229,3501,2003,776,73,9386,2980,2368,179,75727,65863,9864,45199,33388,3584,0.445,25315,41.5,36.8,64499,36555,34977,19654,13734,5.6,598,734,2984,4995,Tennessee,PUTNAM
"Robertson County, Tennessee",38.6,40.4,33707,971,2500,2620,3662,3655,2368,4268,859,2027,6814,3071,892,14487,26375,16169,1547,3288,4558,813,27866,6581,17866,368,3051,29090,5908,17138,2345,3699,903,277,9427,3125,860,79,204,8376,3998,1250,52,70022,62412,7610,69079,26375,2375,0.419,30827,42.5,37.3,56014,35342,27765,19439,6936,6,662,1015,2138,2995,Tennessee,ROBERTSON
"Rutherford County, Tennessee",32.4,35,160482,5068,8820,16498,28122,23766,9287,22038,5191,6239,17518,14023,3912,69090,115376,58769,6143,14864,24712,10888,125321,48252,63680,2154,11235,132676,40226,67806,10277,14367,4041,1384,28657,21326,6431,716,980,28057,22924,7181,1216,319280,284063,35217,63739,115376,9673,0.3909,28127,41.3,36.3,254455,172681,121829,73993,41383,5.8,939,1107,5401,7446,Tennessee,RUTHERFORD
"Sevier County, Tennessee",40.9,45.2,39714,87,4098,4382,5465,5702,2988,7910,1692,1648,3970,1252,520,16208,36861,20283,1764,3775,8828,2211,39380,11350,21921,1135,4974,41823,9710,22317,4332,5464,892,216,14172,2562,811,174,472,11479,4218,1378,122,95582,81579,14003,47411,36861,5105,0.4153,23864,40.2,35.3,80254,43719,58279,25392,11469,5.1,647,717,3810,5634,Tennessee,SEVIER
